,1
0,-0.1941629326356875
1,-0.15563776731453513
2,-0.25494877696115326
3,-0.1749418401718425
4,-0.3121326243870527
5,-0.47283153891525004
6,-0.448663423060625
7,-0.46784424424152504
8,-0.46117902874925
9,-0.3927027523513875
10,-0.557038980721
11,-0.6095035970227499
12,-0.537424856425
13,-0.49917979001874996
14,-0.605605496168875
15,-0.642128640414125
16,-0.647429299353375
17,-0.63484494924375
18,-0.6215676891805
19,-0.612794426679375
20,-0.82480529903975
21,-0.8453512775889999
22,-0.6486111366739999
23,-0.6343811285507499
24,-0.5963601100456251
25,-0.6686597633363749
26,-0.703444148302
27,-0.6712080788605
28,-0.661406127216125
29,-0.7207932686792501
30,-0.640709517004
31,-0.7883934915061249
32,-0.8814579594128751
33,-0.8571445286355001
34,-0.899286155697375
35,-0.727073045968
36,-0.8121072304181252
37,-0.7841600799566251
38,-0.7678337514396251
39,-0.8451907217492501
40,-0.8862904822823751
41,-0.8994647479066249
42,-0.830845382211875
43,-0.8639954364331249
44,-0.83548356652575
45,-0.811630319356125
46,-0.9367626833895
47,-0.838003101347375
48,-0.7923145639870001
49,-0.8286918962017501
50,-0.77607407808275
51,-0.71079882621975
52,-0.811698102958875
53,-0.8839610326287499
54,-0.8871708571921251
55,-0.7797249984776251
56,-0.7591258013215
57,-0.7991902649410001
58,-0.618993780614125
59,-0.684281545876625
60,-0.7582655680172499
61,-0.710179266927875
62,-0.784559198621
63,-0.756237219573375
64,-0.828465249540875
65,-0.9122018301445
66,-0.8517919349588748
67,-0.850517388585625
68,-0.978412657982
69,-0.7986271357548751
70,-0.8087712216366251
71,-0.837318264244125
72,-0.844134811166
73,-0.9245999216966249
74,-0.81555023431775
75,-0.8283118426795
76,-0.929324697261875
77,-0.948460415599375
78,-0.8143551301924999
79,-0.8499682736407501
80,-0.8543959724925
81,-0.967011255022625
82,-0.9044624543199998
83,-0.9549185991248751
84,-0.8455841159832499
85,-0.8901669526040001
86,-0.8628829586455001
87,-0.8159889674217499
88,-0.779191722872875
89,-0.7613135886167501
90,-0.7261355173567501
91,-0.6561325871953749
92,-0.661067498922375
93,-0.7316051220894999
94,-0.92984390496525
95,-0.7500486612393751
96,-0.7091671824432499
97,-0.5373635137075
98,-0.5700846445565
99,-0.482333749535375
