,1
0,-48.261832933437496
1,-48.3573075103375
2,-48.22033834457499
3,-48.163870449025
4,-48.382865648275
5,-48.364970274049995
6,-48.4447898770375
7,-48.2875277424125
8,-48.1916065691125
9,-48.2704018116125
10,-48.41954707139999
11,-48.498345737425
12,-48.334316253649995
13,-48.310578765787504
14,-48.356768169375
15,-48.3751065922625
16,-48.533630142187505
17,-48.461836795850004
18,-48.3548437405125
19,-48.407105216874996
20,-48.332166175775
21,-48.18043472295
22,-48.3065578079875
23,-48.24770155907501
24,-48.37554218277501
25,-48.389333066875004
26,-48.4579547689625
27,-48.421688556975006
28,-48.3841068650375
29,-48.220313844749995
30,-48.26152777663751
31,-48.20093385705
32,-48.20875215527499
33,-48.372802991825004
34,-48.337278423387495
35,-48.3513197612375
36,-48.2240173626875
37,-48.2974124528625
38,-48.32675652511249
39,-48.285308532625
40,-48.250770616762495
41,-48.1190841006875
42,-48.2890136813125
43,-48.185287790225004
44,-48.18208413107501
45,-48.11035244937501
46,-48.064705619925
47,-48.134208173937495
48,-48.06314104072499
49,-48.195633888150006
50,-48.254354515012494
51,-48.255077734112504
52,-48.27600024224999
53,-48.19002016065
54,-48.1996692466
55,-48.119259233499996
56,-48.0377054786625
57,-47.98703676215001
58,-48.1197841262625
59,-48.1111307144625
60,-48.072456302475004
61,-47.994521226875
62,-47.950372552925
63,-47.9532929326
64,-47.9793995093625
65,-47.927085952762496
66,-47.891147470449994
67,-47.819567594575
68,-47.822735843749996
69,-47.7626257611125
70,-47.903201513325
71,-47.73424935347501
72,-47.7401592252
73,-47.728809423499996
74,-47.5741613769375
75,-47.56607429517501
76,-47.578551368537504
77,-47.5167631436125
78,-47.50203818315
79,-47.45579723360001
80,-47.5619704437375
81,-47.5462023066875
82,-47.65728349701251
83,-47.735994291575
84,-47.61561023725
85,-47.5473894406875
86,-47.55013859757501
87,-47.635004606325
88,-47.67761403087499
89,-47.62401093478749
90,-47.5559287453
91,-47.55361958505
92,-47.724674339387505
93,-47.7367045689
94,-47.88241960533749
95,-47.7648860645625
96,-47.662284564812495
97,-47.674308900862506
98,-47.786161308187495
99,-47.890464792275
