,1
0,2.944534302
1,2.958572388
2,3.017448425
3,2.866836548
4,2.817222595
5,2.82118988
6,2.75844574
7,2.865776062
8,2.823928833
9,2.851913452
10,2.885185242
11,2.964057922
12,2.862365723
13,2.825279236
14,2.919410706
15,2.80770874
16,2.715209961
17,2.806564331
18,2.723449707
19,2.696846008
20,2.746627808
21,2.766571045
22,2.678855896
23,2.788825989
24,2.609428406
25,2.619087219
26,2.665237427
27,2.625961304
28,2.686431885
29,2.681671143
30,2.614624023
31,2.587745667
32,2.585350037
33,2.551254272
34,2.599319458
35,2.60974884
36,2.61328125
37,2.641700745
38,3.168518066
39,2.555625916
40,2.583778381
41,2.757217407
42,2.608528137
43,2.59311676
44,2.742012024
45,2.675994873
46,2.723579407
47,2.650230408
48,2.656578064
49,2.646682739
50,2.607154846
51,2.582794189
52,2.648208618
53,2.664360046
54,2.621070862
55,2.580322266
56,2.580360413
57,2.77191925
58,2.654891968
59,2.778686523
60,2.6900177
61,2.718299866
62,2.678077698
63,2.715644836
64,2.720100403
65,2.926048279
66,2.874504089
67,2.814323425
68,2.796386719
69,2.750709534
70,2.897239685
71,2.841575623
72,2.825119019
73,2.902351379
74,2.867080688
75,2.925605774
76,2.967948914
77,2.909461975
78,2.960624695
79,3.078598022
80,2.98841095
81,3.040794373
82,3.100624084
83,3.098556519
84,3.062591553
85,3.101371765
86,3.164558411
87,3.041404724
88,3.113685608
89,2.99987793
90,3.120780945
91,3.083435059
92,3.008926392
93,3.194732666
94,3.175872803
95,3.169509888
96,3.298324585
97,3.21836853
98,3.25604248
99,3.326759338
