,1
0,0.01277542114
1,0.1783151627
2,0.1311578751
3,0.1638736725
4,0.0008192062378
5,-0.1290836334
6,-0.1086044312
7,-0.07234668732
8,-0.2068109512
9,-0.07059669495
10,-0.1601724625
11,-0.2467460632
12,-0.1734142303
13,-0.1271734238
14,-0.3057975769
15,-0.325129509
16,-0.2261514664
17,-0.1743268967
18,-0.3031816483
19,-0.3145751953
20,-0.435344696
21,-0.5060749054
22,-0.211476326
23,-0.1701107025
24,-0.2403993607
25,-0.2952842712
26,-0.3797559738
27,-0.3991785049
28,-0.2206735611
29,-0.3842163086
30,-0.2959260941
31,-0.5273981094
32,-0.5545625687
33,-0.4815540314
34,-0.5909128189
35,-0.4140787125
36,-0.5145788193
37,-0.3127555847
38,-0.4777469635
39,-0.5323143005
40,-0.5021209717
41,-0.5614089966
42,-0.5632209778
43,-0.552110672
44,-0.5512533188
45,-0.5350761414
46,-0.5503349304
47,-0.4769935608
48,-0.4650602341
49,-0.4228982925
50,-0.5057878494
51,-0.3202857971
52,-0.3394203186
53,-0.5495443344
54,-0.5511751175
55,-0.5169229507
56,-0.4357671738
57,-0.4085817337
58,-0.1587495804
59,-0.2978210449
60,-0.3648386002
61,-0.3005819321
62,-0.3572006226
63,-0.4251699448
64,-0.543431282
65,-0.6136713028
66,-0.5045890808
67,-0.5083379745
68,-0.6913166046
69,-0.5004558563
70,-0.5109167099
71,-0.4838466644
72,-0.5461711884
73,-0.6351118088
74,-0.510641098
75,-0.4609546661
76,-0.6639280319
77,-0.6124448776
78,-0.4160547256
79,-0.5601234436
80,-0.4448852539
81,-0.6931362152
82,-0.6021051407
83,-0.5955190659
84,-0.6089372635
85,-0.4921293259
86,-0.5884771347
87,-0.4048566818
88,-0.4832382202
89,-0.3998317719
90,-0.3972673416
91,-0.2446451187
92,-0.3468608856
93,-0.4210653305
94,-0.5536851883
95,-0.4925832748
96,-0.3487005234
97,-0.195763588
98,-0.2921857834
99,-0.1241760254
