,1
0,-47.37181091
1,-47.53109741
2,-47.31651306
3,-47.71427917
4,-47.94419098
5,-47.83298492
6,-47.85694122
7,-47.86096191
8,-47.55873108
9,-47.71179199
10,-47.83602905
11,-47.48114014
12,-48.03270721
13,-47.7911911
14,-47.83516693
15,-47.5094986
16,-48.24385071
17,-47.48524475
18,-47.84675598
19,-47.78166962
20,-47.94007874
21,-47.87483215
22,-47.89089966
23,-47.07405853
24,-47.78844452
25,-48.0057373
26,-48.16458893
27,-47.94514465
28,-47.91387177
29,-47.87677765
30,-47.90258026
31,-47.83174896
32,-47.7660675
33,-47.69740295
34,-47.91742706
35,-48.06327057
36,-47.36039734
37,-47.79021454
38,-44.54134369
39,-47.65886688
40,-47.82849884
41,-47.50079346
42,-47.82463837
43,-47.73982239
44,-47.66496277
45,-47.62999725
46,-47.64820099
47,-47.65840149
48,-47.16082001
49,-47.65631866
50,-47.82367706
51,-47.69384766
52,-47.88254547
53,-47.75681305
54,-47.69152069
55,-47.78276825
56,-47.46089172
57,-47.18102264
58,-47.30081177
59,-46.46113586
60,-47.26128387
61,-47.21513367
62,-47.49447632
63,-47.44168091
64,-47.07791901
65,-46.18704987
66,-46.77918243
67,-47.1706543
68,-47.22135925
69,-47.31299591
70,-47.38049316
71,-47.10681915
72,-47.23962402
73,-46.78974152
74,-47.19338989
75,-47.14630127
76,-47.12398529
77,-47.06821442
78,-47.00715637
79,-46.75193024
80,-46.94781494
81,-46.95384216
82,-46.64586639
83,-47.21216583
84,-47.24278259
85,-46.90357971
86,-45.74534607
87,-46.97016144
88,-46.83398438
89,-46.87730408
90,-46.79845428
91,-46.93972015
92,-47.12084198
93,-47.08174896
94,-47.1517868
95,-47.10791779
96,-46.89955902
97,-47.05016327
98,-46.99206543
99,-47.06962585
