,1
0,47.46113553
1,47.61821874
2,47.41582591
3,47.79359923
4,48.019246
5,47.90924815
6,47.93544742
7,47.93781976
8,47.63814563
9,47.79563454
10,47.92332327
11,47.58150514
12,48.11775709
13,47.8682986
14,47.92809306
15,47.60010332
16,48.318938
17,47.57375562
18,47.91409727
19,47.86303044
20,48.02471306
21,47.95095991
22,47.97073222
23,47.16176568
24,47.86103108
25,48.07040623
26,48.24470425
27,48.0191357
28,47.99236128
29,47.9604512
30,47.96784925
31,47.89744877
32,47.83503584
33,47.76610185
34,47.98858918
35,48.12521152
36,47.44537118
37,47.85639894
38,44.67243799
39,47.72937491
40,47.89391893
41,47.58700451
42,47.90126356
43,47.81509436
44,47.74798224
45,47.71013029
46,47.72797464
47,47.73479431
48,47.24895546
49,47.73316804
50,47.8905069
51,47.75487048
52,47.96170873
53,47.83935696
54,47.77449451
55,47.85532466
56,47.5335172
57,47.26570231
58,47.3777022
59,46.55218191
60,47.34040277
61,47.29988763
62,47.57388062
63,47.51912549
64,47.15668502
65,46.29382425
66,46.8826852
67,47.26056121
68,47.29500885
69,47.39553346
70,47.46909609
71,47.19526765
72,47.32052355
73,46.89296414
74,47.28497382
75,47.23172923
76,47.21440541
77,47.16988162
78,47.10258135
79,46.85654581
80,47.04596267
81,47.04937973
82,46.75355835
83,47.32452163
84,47.34608923
85,47.01254986
86,45.86999562
87,47.0722928
88,46.93737919
89,46.96902278
90,46.8872433
91,47.03017851
92,47.21737521
93,47.18873392
94,47.26243506
95,47.21339745
96,47.02611905
97,47.15776229
98,47.10598298
99,47.17826675
