,1
0,2.578544617
1,2.555107117
2,2.627296448
3,2.478942871
4,2.506874084
5,2.441619873
6,2.383872986
7,2.418708801
8,2.419281006
9,2.448928833
10,2.471046448
11,2.480003357
12,2.49936676
13,2.487846375
14,2.483726501
15,2.410095215
16,2.383056641
17,2.335968018
18,2.304985046
19,2.243217468
20,2.41280365
21,2.32157135
22,2.323104858
23,2.328582764
24,2.284164429
25,2.254714966
26,2.292221069
27,2.297531128
28,2.2914505
29,2.300216675
30,2.259506226
31,2.277572632
32,2.164466858
33,2.146781921
34,2.219009399
35,2.163780212
36,2.216590881
37,2.230209351
38,2.235023499
39,2.206092834
40,2.190048218
41,2.243988037
42,2.230194092
43,2.290092468
44,2.328659058
45,2.312728882
46,2.331100464
47,2.296813965
48,2.249778748
49,2.289810181
50,2.207015991
51,2.182052612
52,2.304519653
53,2.290481567
54,2.250946045
55,2.193946838
56,2.210105896
57,2.310440063
58,2.211708069
59,2.204704285
60,2.209693909
61,2.262825012
62,2.241783142
63,2.349472046
64,2.358688354
65,2.338531494
66,2.335037231
67,2.445755005
68,2.347595215
69,2.391868591
70,2.530326843
71,2.495681763
72,2.393707275
73,2.527778625
74,2.476516724
75,2.532043457
76,2.557167053
77,2.580604553
78,2.639686584
79,2.640304565
80,2.581756592
81,2.636436462
82,2.697647095
83,2.668617249
84,2.669578552
85,2.606796265
86,2.678627014
87,2.587516785
88,2.604812622
89,2.609176636
90,2.606491089
91,2.603569031
92,2.623016357
93,2.686500549
94,2.717445374
95,2.774169922
96,2.778862
97,2.790740967
98,2.781814575
99,2.763938904
