,1
0,-0.4988164902
1,-0.592420578
2,-0.6385602951
3,-0.4787254333
4,-0.6728839874
5,-0.8470954895
6,-0.6976232529
7,-0.7568130493
8,-0.7119398117
9,-0.7685909271
10,-0.9886703491
11,-1.098985672
12,-0.8177804947
13,-0.7792778015
14,-0.9492063522
15,-1.015201569
16,-0.9864501953
17,-0.9968080521
18,-0.846405983
19,-0.9639949799
20,-1.298799515
21,-1.193681717
22,-0.8893136978
23,-0.9267234802
24,-0.998550415
25,-0.9782762527
26,-1.142765045
27,-0.960436821
28,-0.9537553787
29,-0.9761667252
30,-0.9220323563
31,-1.118638992
32,-1.260989189
33,-1.218212128
34,-1.200605392
35,-1.066988945
36,-1.210468292
37,-1.080284119
38,-1.569026947
39,-1.07461071
40,-1.226770401
41,-1.318115234
42,-1.092082977
43,-1.142298698
44,-1.182523727
45,-1.067252159
46,-1.319292068
47,-1.230154991
48,-1.178993225
49,-1.213446617
50,-1.152432442
51,-1.052070618
52,-1.193791389
53,-1.197669029
54,-1.263474464
55,-1.094784737
56,-1.083525658
57,-1.217226028
58,-1.129689217
59,-1.085383415
60,-1.125825882
61,-1.132871628
62,-1.266215324
63,-1.072399139
64,-1.165661812
65,-1.427781105
66,-1.196448326
67,-1.32455349
68,-1.290247917
69,-1.120251656
70,-1.047404289
71,-1.156827927
72,-1.141554832
73,-1.249643326
74,-1.188233376
75,-1.146746635
76,-1.228940964
77,-1.291770935
78,-1.206401825
79,-1.215856552
80,-1.130653381
81,-1.294583321
82,-1.194476128
83,-1.205451965
84,-1.14569664
85,-1.244085312
86,-1.202676773
87,-1.204948425
88,-1.110606194
89,-1.123513222
90,-1.121968269
91,-0.9632043839
92,-1.000804901
93,-1.060144424
94,-1.257901192
95,-1.207167625
96,-1.022104263
97,-0.8949337006
98,-0.94759655
99,-0.7982664108
