,1
0,-48.58106995
1,-48.64246368
2,-48.52557373
3,-48.37367249
4,-48.67121887
5,-48.73692322
6,-48.79759979
7,-48.66012573
8,-48.44642639
9,-48.59140778
10,-48.68949127
11,-48.81774139
12,-48.64542389
13,-48.57634735
14,-48.60647583
15,-48.69982147
16,-48.82872009
17,-48.97853088
18,-48.65011597
19,-48.73700714
20,-48.7044754
21,-48.50231934
22,-48.54406738
23,-48.6137619
24,-48.71473694
25,-48.74063873
26,-48.78113556
27,-48.73122406
28,-48.69413757
29,-48.49890137
30,-48.51356506
31,-48.54990387
32,-48.53424072
33,-48.78281403
34,-48.70452881
35,-48.67745209
36,-48.6471405
37,-48.65531158
38,-48.95787048
39,-48.68601227
40,-48.55436707
41,-48.52838898
42,-48.64102936
43,-48.45056915
44,-48.47784424
45,-48.37184906
46,-48.40890503
47,-48.4960022
48,-48.46420288
49,-48.58378601
50,-48.59111023
51,-48.66906738
52,-48.75186157
53,-48.68054199
54,-48.66628265
55,-48.7075119
56,-48.48381042
57,-48.61450195
58,-48.67364502
59,-48.64632416
60,-48.54544067
61,-48.44412231
62,-48.40057373
63,-48.64240265
64,-48.84159851
65,-48.3505249
66,-48.52352905
67,-48.26748657
68,-48.22275543
69,-48.11356354
70,-48.14479065
71,-48.14933014
72,-48.02723694
73,-48.08042145
74,-47.90350342
75,-47.83597565
76,-47.86342621
77,-47.92513275
78,-47.85861969
79,-47.74360657
80,-48.01781464
81,-47.82835388
82,-47.99247742
83,-48.14576721
84,-47.89813232
85,-48.19586945
86,-48.37011719
87,-48.25267029
88,-48.33055878
89,-48.25172424
90,-48.11405945
91,-48.0641861
92,-48.16462708
93,-48.2177887
94,-48.28790283
95,-48.208992
96,-48.08083344
97,-48.00695038
98,-48.17358398
99,-48.19032288
