,1
0,-48.2196902466125
1,-48.1629656028125
2,-48.3686313152625
3,-48.3519039917625
4,-48.4644171144125
5,-48.283577117975
6,-48.171116456787495
7,-48.2902597427375
8,-48.44914645195
9,-48.5104379653875
10,-48.353552751574995
11,-48.3267941283375
12,-48.3526109694375
13,-48.394274520925
14,-48.5306254290375
15,-48.5077556991625
16,-48.349327373512494
17,-48.406340188899996
18,-48.3321592330375
19,-48.1616283035125
20,-48.3123079491125
21,-48.264367742675006
22,-48.38299981113751
23,-48.396403503375005
24,-48.4742389296625
25,-48.417846832487506
26,-48.343339567250005
27,-48.2188531399125
28,-48.254279794625
29,-48.2106974125125
30,-48.202332038825006
31,-48.3888655949125
32,-48.32362628
33,-48.351283645637494
34,-48.233819131975
35,-48.30782111183749
36,-48.305219888775
37,-48.30532838815
38,-48.22310822503751
39,-48.097002763712496
40,-48.2800123213125
41,-48.187463626799996
42,-48.1668415068375
43,-48.1086167621875
44,-48.0475131417375
45,-48.150166588012496
46,-48.060033340400004
47,-48.171077375325005
48,-48.2588709067875
49,-48.258360796125
50,-48.259251089
51,-48.180503463775004
52,-48.1764654254625
53,-48.0941179084125
54,-48.012690429637495
55,-48.0120890235375
56,-48.097426328599994
57,-48.05331460005
58,-48.01744472497499
59,-48.0019990063
60,-47.96855559345
61,-47.930246305587495
62,-47.9889653109
63,-47.926501770099996
64,-47.919200658725
65,-47.821643142800006
66,-47.8223009873125
67,-47.755864620325
68,-47.89764410972501
69,-47.70361096382499
70,-47.7380006788
71,-47.680338287350004
72,-47.545871543925
73,-47.55861873638751
74,-47.5548241899375
75,-47.50355661392499
76,-47.49504623415
77,-47.4468859959375
78,-47.591625194524994
79,-47.5413104819875
80,-47.66007214565
81,-47.73745466261249
82,-47.5952914335125
83,-47.55405438435
84,-47.57554498675
85,-47.59718317029999
86,-47.6704292679
87,-47.6341334246125
88,-47.5621440220125
89,-47.560796117775
90,-47.72897664075
91,-47.7565633011125
92,-47.875839958275
93,-47.762062616375
94,-47.675021037962495
95,-47.6832750511375
96,-47.7854972266875
97,-47.8774358654625
98,-47.635788173662505
99,-47.75087995541249
